structureNumber,flowChartResult,randomForest,NDOTResult
C001105005,Yes,,No,
C001105005P,No,,No,
C001105010P,Yes,,No,
C001105015,Yes,,,
C001105215,No,,No,
C001105220,Yes,,No,
C001105225,Yes,No,No,
C001110505,Yes,,No,
C001110910P,Yes,,Yes,
C001110915P,Yes,,No,
C001111005,No,,No,
C001111015,No,,No,
C001111210,No,,No,
C001111420,Yes,,No,
C001111425,No,,No,
C001111430,Yes,,No,
C001111435,Yes,,,
C001111725,No,Yes,Yes,
C001111730,Yes,,No,
C001111740,Yes,,No,
C001111905,Yes,,No,
C001111910,Yes,,No,
C001111915,Yes,,No,
C001111920,Yes,,Yes,
C001112015,Yes,,No,
C001112110,Yes,No,No,
C001112115,Yes,,Yes,
C001112125,Yes,,Yes,
C001112205,Yes,,Yes,
C001112210,No,,No,
C001112605,No,,No,
C001112805P,Yes,,No,
C001112807,Yes,,No,
C001112903,No,,No,
C001112905,No,,No,
C001112907P,No,,No,
C001112920,Yes,,,
C001113030,Yes,,,
C001113230,Yes,,Yes,
C001114210,Yes,No,No,
C001114215,Yes,,No,
C001114220,Yes,,No,
C001114225,Yes,,No,
C001114420,Yes,,No,
C001114425,Yes,No,No,
C001114620,No,,No,
C001121035,No,,No,
C001121930,Yes,,No,
C001121935,Yes,,No,
C001122225,Yes,,No,
C001123240,Yes,,,
C001123405,Yes,Yes,Yes,
C001124240,Yes,,,
C001124310P,Yes,,No,
C001131525,Yes,,No,
C001132713,No,,No,
C001132720,Yes,,No,
C001132725,Yes,No,No,
C001132915P,Yes,,No,
C001134015,No,,No,
C001134305,Yes,,No,
C001144020,Yes,,,
C001153130P,No,No,No,
C001200105,No,,No,
C001200305,Yes,,No,
C001200305P,Yes,,No,
C001200310,Yes,,No,
C001200315,Yes,,No,
C001200500P,Yes,,,
C001200605,No,,No,
C001200605P,Yes,,No,
C001200705P,Yes,,No,
C001200800,Yes,,,
C001200805,Yes,,No,
C001200805P,No,,,
C001200905,No,,No,
C001201003P,Yes,,,
C001201005P,Yes,No,No,
C001201105,Yes,,No,
C001201107,No,,,
C001201110,Yes,Yes,No,
C001201115,Yes,,No,
C001201203P,Yes,,No,
C001201205,Yes,,No,
C001201205P,Yes,,No,
C001201210,Yes,,No,
C001201210P,Yes,,No,
C001201305,Yes,,No,
C001201310,Yes,,No,
C001201325,Yes,,No,
C001201405,Yes,,No,
C001201410,Yes,,No,
C001201505,Yes,,No,
C001201510,No,,No,
C001201515,Yes,,No,
C001201605,Yes,,No,
C001201610,No,,No,
C001201615,Yes,,No,
C001201620,No,No,No,
C001201625,No,,No,
C001201630,Yes,,No,
C001201635,Yes,,No,
C001201705,Yes,,No,
C001201710,No,,No,
C001201715,Yes,,,
C001201915,Yes,,No,
C001201920,No,,No,
C001201925,Yes,,No,
C001201930,Yes,,No,
C001201935,Yes,No,No,
C001201936,No,,,
C001201937,No,,,
C001201938,Yes,,,
C001201940,No,,No,
C001202005,Yes,,No,
C001202010,No,,No,
C001202103,No,,No,
C001202105,Yes,,No,
C001202110,Yes,,No,
C001202205,Yes,No,No,
C001202210,Yes,,No,
C001202215,No,,No,
C001202220,Yes,,No,
C001202225,Yes,,No,
C001202305,Yes,,No,
C001202505,Yes,,No,
C001202510,Yes,,No,
C001202704,Yes,,,
C001202705P,Yes,,No,
C001202915,Yes,,No,
C001202920,No,,No,
C001202925,Yes,,No,
C001203035,Yes,,,
C001203205,Yes,,,
C001203230,No,,,
C001203305,Yes,,No,
C001203310,Yes,,No,
C001203315,Yes,,No,
C001203320,Yes,,,
C001203380,Yes,,,
C001203400,Yes,,,
C001203405,Yes,,No,
C001203410,No,,No,
C001203415,Yes,,No,
C001203420,No,,No,
C001203505,Yes,,No,
C001203515,No,,No,
C001203600,No,,,
C001203700,Yes,,,
C001203705,Yes,,No,
C001203820,Yes,,No,
C001203825,Yes,,No,
C001203830,Yes,,No,
C001203835,Yes,,No,
C001204005,Yes,,No,
C001204010,Yes,,No,
C001204015,Yes,Yes,No,
C001204110,Yes,No,No,
C001204215,No,,No,
C001204220,Yes,,No,
C001204305,Yes,,No,
C001204310P,Yes,,No,
C001204405,No,,No,
C001204410,Yes,,No,
C001204505,No,,No,
C001204603,Yes,,No,
C001204605,No,,No,
C001204705,No,,No,
C001204805,Yes,,No,
C001204810,Yes,,No,
C001205005P,Yes,,No,
C001205010,Yes,,No,
C001205020P,Yes,,No,
C001205025P,Yes,,No,
C001205410,Yes,,,
C001205607,Yes,,No,
C001205610,Yes,,No,
C001205820,Yes,,No,
C001205830,No,,,
C001205835,Yes,,No,
C001210710,Yes,,,
C001210925,Yes,,,
C001210930,Yes,,,
C001211215,Yes,,No,
C001211220,Yes,,No,
C001211715,Yes,,No,
C001211835,No,,No,
C001211845,Yes,,No,
C001211850,Yes,,Yes,
C001212615,No,,No,
C001212810,Yes,,No,
C001212815,Yes,,No,
C001212820,Yes,,No,
C001212825,Yes,,No,
C001213110,No,,No,
C001213115,Yes,,No,
C001213320,Yes,,,
C001213915,Yes,,Yes,
C001214225,Yes,,No,
C001214315,Yes,,,
C001214315P,Yes,,No,
C001214520,Yes,,No,
C001214525,Yes,,No,
C001214535,Yes,,No,
C001214540,Yes,,No,
C001214710,Yes,,No,
C001214720,No,,No,
C001214735,No,,No,
C001214745,Yes,,No,
C001214750,Yes,,No,
C001215205,Yes,,Yes,
C001215615,No,,No,
C001215620,Yes,,,
C001221420,No,,No,
C001221425,No,,No,
C001221430,Yes,,No,
C001221435,Yes,,,
C001224125,No,,No,
C001224130,Yes,,No,
C001224320,No,,No,
C001224325,No,,No,
C001224550,Yes,No,No,
C001225210,Yes,,No,
C001232025,Yes,,No,
C001232030,Yes,No,No,
C001232035,Yes,,No,
C001232410,Yes,,No,
C001232413,Yes,,No,
C001232415,Yes,No,No,
C001232425,No,,No,
C001232430,Yes,,No,
C001234330,Yes,,No,
C001234560,No,,No,
C001234905,No,,No,
C001300305,Yes,,No,
C001300310,No,,No,
C001300320,No,No,No,
C001300405,Yes,,Yes,
C001300405P,No,,No,
C001300415,Yes,,No,
C001300420,No,,,
C001300430P,Yes,,,
C001300505,No,,No,
C001300505P,Yes,,No,
C001300510,No,No,No,
C001300705,No,,,
C001301105,No,,No,
C001301120,Yes,,No,
C001301125,Yes,,No,
C001301305,Yes,,,
C001301310,Yes,,No,
C001301315,Yes,,No,
C001301325,Yes,,Yes,
C001301330,Yes,,No,
C001301405,Yes,,Yes,
C001301405P,Yes,,No,
C001301407,Yes,,,
C001301410,No,,No,
C001301605,Yes,,No,
C001301610,Yes,,No,
C001301615,Yes,,No,
C001301620,No,,No,
C001301625,No,,No,
C001301630,No,,No,
C001301635,Yes,,No,
C001301645,No,,No,
C001301705,No,Yes,Yes,
C001301715,No,,No,
C001301725,Yes,,,
C001301805,No,,No,
C001301810,Yes,No,No,
C001301810P,Yes,,,
C001301820,Yes,,No,
C001301825,No,,,
C001302020,Yes,,No,
C001302025,No,,No,
C001302040,Yes,No,No,
C001302110,Yes,,,
C001302115,No,,No,
C001302120,Yes,,No,
C001302125,Yes,,,
C001302205,Yes,,,
C001302210,Yes,,No,
C001302215,Yes,,No,
C001302305P,Yes,,,
C001302315,Yes,,No,
C001302405,Yes,,,
C001302415,No,,,
C001302420,No,,No,
C001302435,Yes,,,
C001302440,Yes,,,
C001302455,Yes,,No,
C001302460,Yes,,,
C001302515,No,,No,
C001302520,Yes,,No,
C001302705,No,,No,
C001302715,No,,No,
C001302720,Yes,,No,
C001302725,Yes,,No,
C001302805,Yes,,No,
C001302807,Yes,,,
C001302810,No,No,No,
C001302820,No,,No,
C001302833,No,,No,
C001302835,No,,No,
C001302840,Yes,,No,
C001302905,Yes,,No,
C001302905P,No,,No,
C001303210,Yes,,No,
C001303210P,Yes,,No,
C001303213,Yes,,,
C001303220,Yes,,No,
C001303225,Yes,,,
C001303305,Yes,,,
C001303310,Yes,,,
C001303325,Yes,,No,
C001303330,Yes,,,
C001303335,Yes,,No,
C001303340,No,,No,
C001303350,Yes,,No,
C001303505,Yes,,No,
C001303705,Yes,,No,
C001303705P,Yes,,No,
C001303805,Yes,,No,
C001303820,No,,No,
C001303825,No,,No,
C001303830,Yes,,No,
C001303840,Yes,,No,
C001303845,Yes,,No,
C001303860,Yes,,No,
C001304020,Yes,,No,
C001304040,No,,No,
C001304105P,No,,No,
C001304110,No,,No,
C001304115,Yes,,,
C001304505,Yes,,Yes,
C001304507,Yes,,,
C001304710,Yes,,No,
C001304715,Yes,,No,
C001304730,Yes,,,
C001304905P,Yes,,No,
C001304910,Yes,,Yes,
C001305105P,Yes,,No,
C001305310P,Yes,,No,
C001305505,Yes,,No,
C001305705,Yes,Yes,Yes,
C001305705P,Yes,,No,
C001305715,Yes,,,
C001305715P,Yes,,,
C001305905P,Yes,,No,
C001305910P,No,,No,
C001306105,Yes,,No,
C001306305,Yes,,Yes,
C001306310P,Yes,,,
C001306320,No,,No,
C001306510P,No,,No,
C001310115,No,,No,
C001310320,Yes,,,
C001310325,Yes,,No,
C001310710,Yes,,No,
C001310715,Yes,,No,
C001310720,Yes,,No,
C001310725,No,,No,
C001310805,Yes,,Yes,
C001310815,No,,No,
C001311005P,Yes,,No,
C001311010P,No,,No,
C001311015P,No,,No,
C001311205P,No,,No,
C001311210P,No,,No,
C001311215P,Yes,,Yes,
C001311230P,No,,No,
C001311235P,Yes,,No,
C001311240P,Yes,,No,
C001311245P,Yes,,Yes,
C001311415,No,,No,
C001311420,No,,No,
C001311515,Yes,,No,
C001311840,Yes,,Yes,
C001312220,No,,No,
C001312620,No,,No,
C001312845,No,,No,
C001312910,Yes,,,
C001312915,Yes,,,
C001313015,Yes,,No,
C001313025,Yes,,No,
C001313215P,Yes,,,
C001313227,No,,No,
C001313410,Yes,,No,
C001313420,No,,No,
C001313503,Yes,Yes,No,
C001313515,Yes,,,
C001313710,No,,No,
C001313710P,Yes,,No,
C001313815,Yes,,,
C001314110,Yes,,,
C001314125,Yes,,No,
C001314305,No,,No,
C001314705P,Yes,,No,
C001314707P,Yes,,No,
C001314710P,Yes,,No,
C001314720P,Yes,,,
C001314915,No,,No,
C001314920,Yes,,No,
C001315115P,Yes,,,
C001315120P,Yes,,,
C001315125P,Yes,,No,
C001315510,No,,No,
C001315515,Yes,,No,
C001316325,No,No,No,
C001321435,Yes,,No,
C001321445,No,,No,
C001321450,Yes,,,
C001321455,Yes,,,
C001321845,Yes,,No,
C001321850,No,,No,
C001321855,No,Yes,Yes,
C001321860,No,,No,
C001321875,No,,No,
C001322625,Yes,,Yes,
C001322630,Yes,,No,
C001322805P,No,,No,
C001323220P,No,,No,
C001326305P,Yes,,No,
C001326315P,Yes,,,
C001331205,Yes,,No,
C001333230,Yes,,,
C001333245,Yes,,,
C001333425,Yes,,No,
C001333905,Yes,,No,
C001335925P,Yes,,,
C001335930P,Yes,,,
C001343035,Yes,,,
C001356345P,Yes,,,
C001400220,Yes,,No,
C001400310,No,,No,
C001400325,Yes,,,
C001400340,No,,No,
C001400505,No,,Yes,
C001400515,Yes,,No,
C001400605,No,,No,
C001400705P,No,,Yes,
C001400730,Yes,,No,
C001400805,Yes,,No,
C001400905,No,,No,
C001400910,No,,No,
C001401005,Yes,,No,
C001401010,Yes,,No,
C001401015,No,,No,
C001401101,Yes,,No,
C001401103,Yes,,,
C001401105,No,,No,
C001401110,No,,No,
C001401120,Yes,,No,
C001401125,Yes,,No,
C001401135,No,,No,
C001401203,No,,No,
C001401205,No,,No,
C001401205P,Yes,,No,
C001401305P,Yes,,No,
C001401405,Yes,,No,
C001401420,Yes,,,
C001401510,Yes,,,
C001401520,Yes,,No,
C001401525,No,,No,
C001401530,No,,No,
C001401535,Yes,,No,
C001401540,No,,No,
C001401610,No,,No,
C001401610P,No,,No,
C001401710,Yes,No,No,
C001401720,No,,,
C001401903,Yes,,No,
C001401905,No,,No,
C001401905P,Yes,,No,
C001401910P,No,,Yes,
C001402003,Yes,,No,
C001402005P,Yes,,No,
C001402020P,No,,No,
C001402105P,Yes,,No,
C001402205P,Yes,,,
C001402305P,Yes,No,No,
C001402307,No,,No,
C001402310,Yes,,No,
C001402315,Yes,,No,
C001402410P,Yes,,No,
C001402415P,Yes,,No,
C001402505,Yes,,No,
C001402510,Yes,,No,
C001402515,Yes,,No,
C001402530,Yes,,No,
C001402705,No,,No,
C001402715,Yes,,No,
C001402720,Yes,No,Yes,
C001402805,No,,No,
C001402810,Yes,,No,
C001402905,Yes,,No,
C001403005P,No,,No,
C001403010P,Yes,,No,
C001403110,Yes,,No,
C001403115,Yes,No,No,
C001403117,Yes,,No,
C001403120,Yes,,,
C001403205,No,,No,
C001403305,No,,No,
C001403305P,No,,No,
C001403310,Yes,,No,
C001403425,Yes,,No,
C001403494,Yes,,,
C001403505,Yes,,No,
C001403505P,No,,No,
C001403515,Yes,,No,
C001403520,Yes,,No,
C001403705P,No,,No,
C001403710,Yes,,No,
C001403805,No,,No,
C001403810,No,,Yes,
C001403815,No,,No,
C001403830,Yes,,No,
C001403835,No,,No,
C001403845,No,,No,
C001403850,Yes,,,
C001403855,No,,No,
C001403903,No,,No,
C001403905,No,,No,
C001403910,No,,,
C001404007,Yes,,,
C001404010,Yes,,No,
C001404015,No,,No,
C001404105,No,,No,
C001404105P,Yes,,No,
C001404205,Yes,,No,
C001404208,Yes,,,
C001404210,Yes,,,
C001404305,Yes,,No,
C001404310,Yes,,,
C001404410,No,,No,
C001404505,Yes,,No,
C001404605,No,,No,
C001404705,No,,No,
C001404805,Yes,,No,
C001404810,No,,No,
C001404820,Yes,,,
C001405010,No,,No,
C001405405,Yes,,,
C001405815,Yes,No,No,
C001405825,No,,,
C001405835,No,,No,
C001405845,Yes,,,
C001406005,Yes,,No,
C001406605,Yes,,No,
C001406615,No,,No,
C001410105P,No,,No,
C001410205P,No,,No,
C001410505P,Yes,No,No,
C001410510P,No,,No,
C001411313,No,,No,
C001411545,Yes,,No,
C001411615P,Yes,No,No,
C001411910,No,,No,
C001412205,Yes,,,
C001412210,No,,No,
C001412215,Yes,,No,
C001412220,No,,No,
C001412225,No,Yes,No,
C001412535,Yes,,Yes,
C001412540,No,,No,
C001412705P,Yes,,No,
C001412710P,No,,Yes,
C001412925,Yes,,No,
C001412930,No,,No,
C001413105P,No,Yes,No,
C001413210,No,,No,
C001413215,No,,No,
C001413220,No,,Yes,
C001413225,Yes,,,
C001413230,No,,No,
C001413535,Yes,,,
C001413710P,No,,No,
C001413720,Yes,,No,
C001413910,No,,No,
C001413915,No,No,No,
C001413920,No,,No,
C001414215,No,,No,
C001414315,No,,No,
C001414320,No,No,No,
C001414607,Yes,,,
C001414825,No,,No,
C001414830,Yes,,No,
C001415607,Yes,,No,
C001415608,No,,No,
C001415610,No,No,No,
C001415840,No,Yes,No,
C001416010,Yes,No,No,
C001416403,No,Yes,No,
C001416625,Yes,,No,
C001416810,No,,No,
C001420105,No,,No,
C001420110,Yes,,No,
C001420115,No,,No,
C001420120,Yes,,No,
C001420125,No,,No,
C001420135,No,,No,
C001420140,No,,No,
C001420345,Yes,,No,
C001420350,Yes,,No,
C001420915,No,,No,
C001421210,Yes,,,
C001421315,Yes,,No,
C001421618,Yes,,No,
C001421620,Yes,,No,
C001421920,No,,No,
C001421930,No,,No,
C001421935,Yes,,No,
C001421940,No,,No,
C001422005,Yes,No,No,
C001422110,Yes,,No,
C001422115,No,,Yes,
C001422120,Yes,,No,
C001422360,No,,No,
C001422600,No,,,
C001422605,No,,No,
C001422725,Yes,Yes,No,
C001422935,No,,No,
C001423125,No,,No,
C001423130,No,,No,
C001423135,No,,No,
C001423325,Yes,,No,
C001423605,Yes,,,
C001423607,Yes,,No,
C001423610,Yes,Yes,No,
C001423615,No,,No,
C001423620,Yes,No,No,
C001423630,No,,No,
C001423715P,Yes,,,
C001423720P,Yes,,No,
C001424025,Yes,,Yes,
C001424425,Yes,,No,
C001424430,Yes,,No,
C001424515,No,,No,
C001424520,Yes,,No,
C001424525,Yes,,No,
C001424530,No,,No,
C001424535,Yes,,No,
C001424715,Yes,,Yes,
C001424720,Yes,,No,
C001424730,No,,No,
C001424740,Yes,,No,
C001424745,Yes,,,
C001424750,Yes,,Yes,
C001425615,Yes,,No,
C001426210,No,,No,
C001431335,No,,No,
C001431420,Yes,,No,
C001431715,Yes,,Yes,
C001431720,No,,No,
C001433015,Yes,No,No,
C001433025,No,,No,
C001434230,No,,No,
C001443330,Yes,,No,
C001445210,Yes,,No,
C001445215,Yes,,No,
C001454945,Yes,,No,
C001500705,Yes,,No,
C001503105,No,,,
C001503105P,Yes,,No,
C001503505,Yes,,,
C001503605P,Yes,,No,
C001503910P,Yes,,,
C001504005P,Yes,,No,
C001504105,No,,Yes,
C001504505,Yes,No,No,
C001506105P,No,,No,
C001507305,Yes,,No,
C001507310,Yes,,,
C001507315,No,,No,
C001507320,No,,No,
C001515705,Yes,,No,
C001516705,Yes,,Yes,
C001524005,Yes,,No,
C001524010,No,,No,
C001526515,Yes,,No,
C001526710,Yes,,,
C001526720,No,,,
C001530215,Yes,,Yes,
C001531605,No,,No,
C001541405,No,,No,
C001546905,Yes,,,
C001601604P,Yes,,,
C001602105,No,,No,
C001602205P,Yes,,No,
C001602605P,No,,Yes,
C001603305P,Yes,,No,
C001604005,Yes,,No,
C001604805P,No,,No,
C001605405P,Yes,,No,
C001605505P,No,,No,
C001605705,Yes,,,
C001608705P,No,,No,
C001610405,No,,No,
C001611405P,Yes,,No,
C001611605P,No,,No,
C001611805,Yes,Yes,No,
C001612610P,No,,No,
C001638305P,No,,No,
C001657705P,Yes,,Yes,
C001700505,Yes,,,
C001700705,Yes,,,
C001700905,Yes,,,
C001701200,Yes,,,
C001701205,No,No,No,
C001701405,Yes,,,
C001701410,Yes,,,
C001701605,Yes,,,
C001701615,No,,No,
C001701803,Yes,,,
C001701804,Yes,,,
C001701805,Yes,,,
C001701810,Yes,,,
C001701815,Yes,,,
C001701820,Yes,,,
C001702005,Yes,,,
C001702205,No,,No,
C001703205,Yes,,,
C001703210P,Yes,,,
C001704005P,Yes,,No,
C001704103,Yes,,No,
C001705101,Yes,,,
C001705610,Yes,,,
C001705615,Yes,,,
C001705805,No,,No,
C001705905,No,No,No,
C001705906,Yes,,,
C001706510,No,,,
C001711705,Yes,,,
C001711710,No,,Yes,
C001712515P,No,,,
C001712903,Yes,,,
C001712905,Yes,,Yes,
C001712910,Yes,,,
C001712915,Yes,,,
C001712920,Yes,,,
C001712925,No,,No,
C001714305,Yes,,,
C001714405,Yes,,,
C001714610,Yes,,,
C001715505,No,,No,
C001715510,Yes,,,
C001715515,Yes,,,
C001716105,No,No,No,
C001716110,Yes,,,
C001716505,No,,No,
C001716903,No,,No,
C001716905,No,,No,
C001716910,Yes,,,
C001716913,Yes,,,
C001716915,Yes,,,
C001717305,No,,No,
C001717905,Yes,,No,
C001720305,Yes,,No,
C001720715,Yes,,,
C001720720,Yes,,,
C001721303,Yes,,No,
C001722305,No,,No,
C001722810P,No,,No,
C001723505,Yes,,,
C001724103,Yes,,,
C001724104,Yes,,,
C001724105,Yes,,,
C001726117,Yes,,,
C001726120,Yes,,,
C001727510,Yes,,No,
C001731305,No,,No,
C001731310,No,,No,
C001731905,Yes,,,
C001732500,Yes,,,
C001732605,Yes,,,
C001732805,Yes,,,
C001732808,Yes,,,
C001732810,Yes,,,
C001734710,Yes,,,
C001734805,Yes,,,
C001734815,No,No,No,
C001735105,Yes,,,
C001742510,No,,No,
C001742515,No,,No,
C001743005,Yes,,,
C001743105P,No,,No,
C001743705P,Yes,,No,
C001753725,Yes,,,
C001800305,Yes,,No,
C001800310,No,,No,
C001800505,No,,No,
C001800510,No,,No,
C001800513,Yes,,No,
C001800605,Yes,Yes,No,
C001800708,No,No,No,
C001800905,Yes,,No,
C001801005,Yes,,No,
C001801010,Yes,,No,
C001801015,Yes,,No,
C001801020,Yes,,No,
C001801025,No,,No,
C001801205,No,No,No,
C001801210,Yes,,No,
C001801215,No,,No,
C001801305,Yes,,No,
C001801410,Yes,No,No,
C001801820,No,,No,
C001801905P,No,,No,
C001801910,Yes,,No,
C001802003,Yes,,,
C001802105,Yes,,,
C001802115,Yes,,,
C001802305,No,,No,
C001802315,Yes,,,
C001802515,Yes,,,
C001802520,Yes,,No,
C001802525,Yes,,No,
C001802705,Yes,,No,
C001802805,Yes,,No,
C001802905,Yes,,No,
C001802910,No,,No,
C001802915,Yes,,,
C001803105,Yes,,No,
C001803310,Yes,,,
C001803505,Yes,,,
C001803515,Yes,,,
C001803905,No,,No,
C001803910,Yes,,,
C001803915,Yes,,Yes,
C001803920,Yes,,No,
C001804005,Yes,,No,
C001804105,Yes,,,
C001804110,Yes,,,
C001804115,Yes,,Yes,
C001804120,Yes,,No,
C001804205P,Yes,,No,
C001804305,Yes,,,
C001804405,No,,No,
C001804405P,No,,No,
C001804410,No,,No,
C001804705,No,,No,
C001804805P,Yes,,No,
C001804810P,No,,No,
C001804915,Yes,,No,
C001810120,No,,No,
C001810320,No,,No,
C001810325,Yes,,No,
C001810410,Yes,,No,
C001810515,Yes,,No,
C001810710,No,,No,
C001810715,Yes,,No,
C001810910,Yes,,No,
C001810915,Yes,,Yes,
C001811110,Yes,,No,
C001811503,No,,No,
C001811505,Yes,,No,
C001811510,Yes,,No,
C001811605,Yes,,,
C001811610,Yes,,,
C001811615,Yes,,,
C001811625,Yes,,No,
C001811915,Yes,,No,
C001812110,No,,No,
C001812315,Yes,,No,
C001812710,Yes,,,
C001813005,No,,No,
C001813010,Yes,,No,
C001813315,Yes,,,
C001813400,Yes,,,
C001813405,No,,No,
C001813410,Yes,,,
C001813815,Yes,,No,
C001813820,No,,Yes,
C001814315,Yes,,No,
C001814320,Yes,,No,
C001814505,Yes,,No,
C001814710,Yes,,,
C001814715,Yes,,No,
C001814720,Yes,,,
C001814803,Yes,,No,
C001814810,Yes,,,
C001814950,No,,,
C001820140,Yes,,No,
C001820215,Yes,,No,
C001820520,Yes,,No,
C001821310,Yes,,No,
C001821705,Yes,,No,
C001823205,Yes,,No,
C001823415,No,,No,
C001823605,Yes,,,
C001823610,Yes,,Yes,
C001824205,Yes,,,
C001824420,No,,No,
C001824423,Yes,,,
C001824425,No,,Yes,
C001824510,No,,No,
C001824515,Yes,,Yes,
C001844605,Yes,,,
C001900105,Yes,,No,
C001900115,Yes,,,
C001900120,Yes,Yes,No,
C001900125,Yes,,No,
C001900130,Yes,,No,
C001900205,Yes,,,
C001900210,Yes,,,
C001900215,Yes,,No,
C001900220,Yes,,,
C001900225,Yes,,No,
C001900230,Yes,,No,
C001900305,Yes,,,
C001900310,Yes,,Yes,
C001900315,Yes,,Yes,
C001900317,Yes,,,
C001900320,Yes,,No,
C001900325,Yes,,,
C001900405,Yes,,,
C001900410,Yes,,,
C001900415,No,,No,
C001900417,No,,,
C001900420,Yes,,No,
C001900505,Yes,,No,
C001900703,Yes,,Yes,
C001900705,No,,No,
C001900710,Yes,,,
C001900715,No,,No,
C001900717,Yes,,,
C001900719,Yes,,,
C001900720,Yes,,No,
C001900725,Yes,,No,
C001900805,Yes,,,
C001900810,Yes,,No,
C001900815,Yes,,Yes,
C001900820,Yes,,,
C001900825,No,,No,
C001900905P,Yes,,,
C001901100,Yes,,,
C001901105,No,,No,
C001901107,Yes,Yes,No,
C001901115,Yes,,,
C001901120,Yes,,,
C001901200,Yes,,,
C001901305,Yes,,No,
C001901307,Yes,,Yes,
C001901310,No,,No,
C001901320,Yes,,No,
C001901325,Yes,,Yes,
C001901330,Yes,No,No,
C001901335,No,,No,
C001901405,Yes,,No,
C001901410,Yes,,,
C001901415,Yes,,No,
C001901418,Yes,,,
C001901420,Yes,,No,
C001901505,Yes,,,
C001901605,No,,No,
C001901615,No,,No,
C001901620,Yes,,No,
C001901625,Yes,,No,
C001901635,Yes,,,
C001901640,No,,No,
C001901645,Yes,,,
C001901705,Yes,,,
C001901710,Yes,,No,
C001901715,Yes,,,
C001901720,Yes,,,
C001901725,Yes,,No,
C001901730,Yes,,,
C001901740,Yes,,,
C001901745,Yes,,,
C001901750,Yes,,No,
C001901755,Yes,,No,
C001901760,Yes,,,
C001901765,Yes,,Yes,
C001901900,Yes,,,
C001901905,Yes,,No,
C001901910,Yes,,Yes,
C001901913,No,,,
C001901915,Yes,,No,
C001901920,No,,No,
C001901923,Yes,,,
C001901925,Yes,,No,
C001901930,Yes,,No,
C001901935,Yes,,,
C001901940,Yes,,,
C001901945,No,,No,
C001901950,No,,No,
C001902005,Yes,,,
C001902010,Yes,,,
C001902015,Yes,,Yes,
C001902020,Yes,,,
C001902025,No,No,No,
C001902027,Yes,,,
C001902030,Yes,,No,
C001902035,Yes,,No,
C001902040,Yes,,,
C001902203,Yes,,,
C001902205,Yes,,No,
C001902210,Yes,,,
C001902215,Yes,,No,
C001902305,Yes,,No,
C001902310,Yes,,,
C001902313,Yes,,,
C001902315,Yes,,No,
C001902320,Yes,,,
C001902325,Yes,,,
C001902335,Yes,,No,
C001902340,Yes,,No,
C001902405,No,,No,
C001902410,Yes,,No,
C001902415,No,,No,
C001902420,Yes,,,
C001902425,Yes,,No,
C001902430,Yes,,Yes,
C001902435,Yes,,,
C001902505,Yes,,,
C001902505P,Yes,,,
C001902510,Yes,,Yes,
C001902515,Yes,,No,
C001902520,Yes,,,
C001902525,Yes,,No,
C001902530,No,,No,
C001902535,Yes,,,
C001902540,Yes,,No,
C001902603,Yes,,,
C001902605,No,,No,
C001902610,No,,No,
C001902615,Yes,,,
C001902620,Yes,,,
C001902625,Yes,,,
C001902630,Yes,,,
C001902705,No,,No,
C001902710,Yes,,,
C001902713,Yes,,,
C001902714,Yes,,,
C001902715,Yes,,No,
C001902720,Yes,,,
C001902725,Yes,,No,
C001902735,Yes,,No,
C001902805,Yes,,No,
C001902810,No,,Yes,
C001902905,No,,No,
C001902910,No,,No,
C001902913,Yes,,,
C001902915,Yes,,,
C001903105,Yes,,,
C001903115,Yes,,No,
C001903120,No,,No,
C001903130,Yes,,Yes,
C001903135,Yes,,Yes,
C001903140,No,,Yes,
C001903142,Yes,,,
C001903150,Yes,,,
C001903205,No,Yes,Yes,
C001903305,Yes,,,
C001903310,No,,Yes,
C001903315,No,,Yes,
C001903320,Yes,,Yes,
C001903325,Yes,,No,
C001903330,Yes,,No,
C001903505,Yes,,Yes,
C001903510,No,,No,
C001903513,Yes,,,
C001903515,Yes,,No,
C001903520,Yes,,,
C001903525,No,,No,
C001903530,Yes,,,
C001903535,Yes,,No,
C001903605,Yes,,Yes,
C001903710,No,,No,
C001904405,Yes,,,
C001904405P,Yes,No,No,
C001904605,No,,No,
C001904610,No,,No,
C001910510,Yes,,No,
C001910515,No,,No,
C001910525,Yes,,No,
C001910530,Yes,,No,
C001910535,Yes,,Yes,
C001910835,Yes,,No,
C001910840,No,,No,
C001910845,Yes,,,
C001910850,No,,No,
C001910855,Yes,,,
C001911005,Yes,,No,
C001911010,Yes,,No,
C001911205,Yes,,,
C001911210,No,,No,
C001911215,Yes,,,
C001912815,Yes,,,
C001912817,Yes,,,
C001912820,Yes,,No,
C001912823,No,,,
C001912825,No,,No,
C001912830,Yes,,,
C001912835,Yes,,No,
C001912840,No,No,No,
C001912920,Yes,,No,
C001912927,Yes,,,
C001912930,No,,No,
C001912940,Yes,,,
