structureNumber,flowChartResult,randomForest,NDOTResult
C000616005,Yes,,No,
C000620410,Yes,,No,
C000620415,Yes,,No,
C000620420,Yes,,No,
C000620515,Yes,,No,
C000620910,Yes,,,
C000621105,Yes,,No,
C000621113,Yes,,No,
C000621305P,Yes,,No,
C000621440,No,,No,
C000621605,Yes,,,
C000621610R,Yes,,,
C000621615,Yes,,No,
C000621625,No,,No,
C000621820,Yes,,No,
C000621915,Yes,,No,
C000622110,Yes,,,
C000622410,Yes,,No,
C000622415,Yes,,No,
C000622420,No,,No,
C000622610,Yes,,No,
C000622615,Yes,,Yes,
C000622715,Yes,,No,
C000622720,Yes,No,No,
C000622910,Yes,No,Yes,
C000623125,Yes,,No,
C000623205,Yes,,No,
C000623225,Yes,,,
C000623335,Yes,,,
C000623340,Yes,,No,
C000623423,Yes,,No,
C000623425,Yes,,No,
C000623430,Yes,,No,
C000623440,Yes,,,
C000623445,Yes,No,No,
C000623520,No,,No,
C000623525,Yes,No,No,
C000623715,Yes,,,
C000623935,No,,No,
C000623940,Yes,,No,
C000623945,No,No,No,
C000623950,Yes,,No,
C000623955,Yes,,No,
C000624015,Yes,,Yes,
C000624130,Yes,No,No,
C000624140,Yes,,No,
C000624420,Yes,,,
C000625410,Yes,,No,
C000625415,Yes,,No,
C000625420,No,,No,
C000630315,Yes,,No,
C000631510,Yes,No,No,
C000631915P,Yes,No,No,
C000632120,No,,No,
C000632725,Yes,,No,
C000633625,No,,Yes,
C000633720,Yes,,No,
C000634020,Yes,,No,
C000634315,Yes,,No,
C000634320,Yes,,No,
C000634325,Yes,,No,
C000634330,No,,No,
C000634335,Yes,,No,
C000634340,Yes,,No,
C000634605,Yes,,No,
C000634615,Yes,,No,
C000635430,No,,No,
C000635435,No,,No,
C000643630,No,,No,
C000643815P,Yes,,No,
C000651120,Yes,,No,
C000652125,Yes,,No,
C000652130,Yes,,No,
C000653815,Yes,,No,
C000654425,Yes,,,
C000703905,Yes,,,
C000703910,Yes,,,
C000704805,Yes,,,
C000713205,Yes,,,
C000714105,No,,No,
C000714410,Yes,,,
C000717105,Yes,,,
C000721825,Yes,,,
C000736910,No,,No,
C000800205P,No,,No,
C000800615,Yes,,No,
C000800705,Yes,,No,
C000800710,Yes,,No,
C000800715,Yes,,No,
C000800805P,Yes,,No,
C000801005P,Yes,,No,
C000801210P,No,,No,
C000801215P,Yes,,No,
C000801605,No,,No,
C000801705,Yes,,No,
C000802515,No,,,
C000803105,Yes,,,
C000803110,No,No,No,
C000803505,Yes,,No,
C000803905,No,,No,
C000804505P,No,,No,
C000805115,Yes,,No,
C000805510P,No,,,
C000807115,Yes,,,
C000808105,Yes,No,No,
C000808303,Yes,,,
C000808305,Yes,,Yes,
C000808705,Yes,,No,
C000809505,No,,No,
C000810415,Yes,,,
C000810420,Yes,,,
C000810805,Yes,,No,
C000811610,Yes,,No,
C000812210,Yes,No,No,
C000816510,Yes,,No,
C000817105,Yes,,No,
C000817305,No,,No,
C000818510,No,,No,
C000818515,Yes,,No,
C000822605,Yes,,No,
C000822615,Yes,,No,
C000831210,Yes,,No,
C000832005,Yes,,No,
C000832010P,Yes,,,
C0008C4305,Yes,No,No,
C000900505P,Yes,,,
C000900705,Yes,,,
C000900805P,Yes,,No,
C000901005,Yes,,,
C000901305,Yes,,No,
C000901505P,Yes,,No,
C000901705P,Yes,,No,
C000902105,No,,No,
C000902805,No,,No,
C000903405,Yes,,No,
C000903505,Yes,,No,
C000903510,No,,No,
C000903515,Yes,,No,
C000903520,Yes,,No,
C000903605,No,,No,
C000904005,Yes,,No,
C000904110,No,No,No,
C000904205P,No,,No,
C000904210P,Yes,,No,
C000904905P,No,,No,
C000905305P,Yes,,No,
C000912305,No,,No,
C000912705,No,,No,
C000912905,No,,No,
C000912910,No,,No,
C000913010,Yes,,No,
C000913105,No,,Yes,
C000913110,No,,No,
C000913505P,Yes,Yes,No,
C000913705,No,,,
C000913725,Yes,,No,
C000915305,Yes,,,
C000915310,Yes,,,
C000922505,No,,No,
C000922515,Yes,,No,
C000922710,No,,No,
C000922915,No,,No,
C000923115,No,,No,
C000923505P,No,,Yes,
C000923905,No,,No,
C000923915,No,,No,
C000933305,No,,No,
C000933310,Yes,,No,
C000933315,No,,No,
C000934705,No,,,
C000934715P,No,,,
C001000205P,Yes,,,
C001000305,Yes,,No,
C001000305P,Yes,,No,
C001000310,Yes,,,
C001000310P,Yes,,,
C001000320,No,,No,
C001000505,Yes,Yes,No,
C001000510,Yes,,,
C001000515,No,Yes,No,
C001000520,Yes,,,
C001000525,Yes,,No,
C001000540P,Yes,,,
C001000605,Yes,,,
C001000705,No,Yes,No,
C001000705P,No,Yes,No,
C001000710,No,No,No,
C001000905,Yes,,,
C001001010,No,,No,
C001001103P,Yes,,Yes,
C001001105P,No,Yes,No,
C001001110,Yes,,,
C001001110P,Yes,,,
C001001115,Yes,,No,
C001001305P,No,,No,
C001001405,Yes,,No,
C001001505,No,Yes,No,
C001001705,No,,No,
C001001710,No,,No,
C001001805,No,,No,
C001001905,Yes,,No,
C001001915,Yes,No,No,
C001001920,No,,,
C001001925,No,Yes,No,
C001002005,Yes,No,No,
C001002015,No,Yes,No,
C001002020,No,,No,
C001002025,Yes,,,
C001002035,Yes,,No,
C001002040,Yes,,,
C001002045,Yes,,,
C001002050,Yes,,,
C001002055,Yes,,No,
C001002060,Yes,,,
C001002065,Yes,,No,
C001002070,Yes,,,
C001002105,No,,No,
C001002110P,No,,Yes,
C001002115,No,,No,
C001002205,Yes,,,
C001002305,No,No,No,
C001002310,No,Yes,No,
C001002315,No,Yes,No,
C001002505,No,,No,
C001002605P,Yes,,No,
C001002705,No,,No,
C001002710,Yes,,No,
C001002715,No,,No,
C001002805,Yes,,,
C001002810,No,,No,
C001002905,Yes,,No,
C001002905P,Yes,,No,
C001003005,Yes,,No,
C001003010,Yes,,Yes,
C001003105,Yes,Yes,No,
C001003305,No,,No,
C001003305P,Yes,,No,
C001003425,Yes,,No,
C001003435,No,,No,
C001003440,Yes,,No,
C001003443,No,,No,
C001003447,Yes,,,
C001003448,Yes,,,
C001003450,Yes,,,
C001003453,Yes,,,
C001003455,Yes,,,
C001003505,Yes,,,
C001003510,Yes,,No,
C001003605P,No,,No,
C001003805P,No,,No,
C001003810P,No,Yes,Yes,
C001004005P,No,,No,
C001004010,Yes,,,
C001004045,Yes,,,
C001004204P,Yes,,,
C001004205P,Yes,,,
C001004215,No,,,
C001004215P,No,,Yes,
C001004220P,Yes,,No,
C001004225,Yes,,,
C001004405,No,,Yes,
C001004503,No,No,No,
C001004505,No,,No,
C001004605,No,,No,
C001004610,Yes,,,
C001004705P,Yes,,No,
C001004803,Yes,,,
C001004805,Yes,,,
C001004905,Yes,Yes,No,
C001004905P,No,,No,
C001004910,No,,No,
C001004915,Yes,,No,
C001004917,No,Yes,No,
C001004920,Yes,,No,
C001005005,No,,No,
C001005010,No,No,No,
C001005015,Yes,,Yes,
C001005115,Yes,,No,
C001005205,No,,No,
C001005305,Yes,,No,
C001005905,Yes,,No,
C001006103P,Yes,,,
C001006105,Yes,,,
C001006105P,Yes,,Yes,
C001006110,Yes,,No,
C001006110P,Yes,,Yes,
C001006115,Yes,,,
C001006115P,Yes,,,
C001006120,Yes,,,
C001006120P,Yes,,Yes,
C001006125,Yes,,,
C001006125P,No,,No,
C001006130,Yes,,,
C001006135,Yes,,,
C001006150,Yes,,No,
C001006310,Yes,,,
C001006315,Yes,,No,
C001006325,Yes,,,
C001006330,Yes,,,
C001006335,No,,No,
C001006340,Yes,,No,
C001006505,Yes,,No,
C001006515,Yes,,,
C001006517,Yes,,,
C001006520,Yes,,,
C001006525,No,,No,
C001006530,Yes,,,
