,BIR_PRJD_ITEM_008,BIR_PRJD_RT_008A,BIR_PRJD_ORIG_PLN,BIR_PRJD_OVERLAY,BIR_PRJD_CURB,BIR_PRJD_DEV_RPAR,BIR_PRJD_WIDENING,BIR_PRJD_PAINTING,BIR_PRJD_SHOP_PLN,BIR_PRJD_OTHER,BIR_PRJD_RE_DECK,BIR_PRJD_FORM_PRJ,BIR_PRJD_DSGN_CLS,BIR_PRJD_YEAR
1967,S020 39987,4,,,,,,,Y,,,10800,,
1968,S020 39987,5,,,Y,,,,,,,F-20-6(1007)-1C,,1990.0
1969,S020 40411,1,Y,,,,,,,,,NRH-383-B-2,H15,1935.0
1970,S020 40411,2,,,,,,,Y,,,8834,,
1971,S020 40411,3,,,,,Y,,,,,F-20-6(1001)-2,H15,1972.0
1972,S020 40411,4,,,,,,,Y,,,10800,,
1973,S020 40411,5,,,Y,,,,,,,F-20-6(1007)-2C,,1990.0
1974,S020 40411,6,,,,,,,,Y,,20(404.11),,1988.0
1975,S020 40463,1,Y,,,,,,,,,UNKNOWN,,
1976,S020 40463,2,Y,,,,,,,,,F-20-6(1001)-5C,HS20,1971.0
1977,S020 40463,3,,,,,,,,Y,,F-20-6(1007)-10C,,1990.0
1978,S020 40702,1,Y,,,,,,,,,NRH-383-B-3,H15,1935.0
1979,S020 40702,2,,,,,,,Y,,,8834,,
1980,S020 40702,3,,,,,Y,,,,,F-20-6(1001)-3,H15,1972.0
1981,S020 40702,4,,,,,,,Y,,,10800,,
1982,S020 40702,5,,,Y,,,,,,,F-20-6(1007-3C,,1990.0
1983,S020 41820,1,Y,,,,,,,,,F-271(6)-1,H20,1954.0
1984,S020 41820,2,,,,,,,Y,,,9631,,
1985,S020 41820,3,,Y,,,Y,,,,,RF-12-6(102)-3,H20,1975.0
1986,S020 41820,4,,,,,,,Y,,,10891,,
1987,S020 41914,1,Y,,,,,,,,,F-271(6)-2,H20,1954.0
1988,S020 41914,2,,,,,,,Y,,,9631,,
1989,S020 41914,3,,,,,,Y,,,,20(419.14),,1978.0
1990,S020 41914,4,,Y,,,Y,,,,,BHF-20-7(106)-1,HS20,1985.0
1991,S020 41914,5,,,,,,,Y,,,11627,,1985.0
