,BIR_PRJD_ITEM_008,BIR_PRJD_RT_008A,BIR_PRJD_ORIG_PLN,BIR_PRJD_OVERLAY,BIR_PRJD_CURB,BIR_PRJD_DEV_RPAR,BIR_PRJD_WIDENING,BIR_PRJD_PAINTING,BIR_PRJD_SHOP_PLN,BIR_PRJD_OTHER,BIR_PRJD_RE_DECK,BIR_PRJD_FORM_PRJ,BIR_PRJD_DSGN_CLS,BIR_PRJD_YEAR
4473,S075 07698R,1,Y,,,,,,,,,RFG-73-2(106)-1,HS20,1974.0
4474,S075 07916,2,Y,,,,,,,,,NH-75-2(117),HS25,1992.0
4475,S075 07920,1,Y,,,,,,,,,F-75-2(1014)-1309,HS20,1990.0
4476,S075 07926A,1,Y,,,,,,,,,F-75-2(1014)-1309,HS20,1990.0
4477,S075 07937,1,Y,,,,,,,,,AI-138-C(2)-1C,T20,1941.0
4478,S075 07937,2,,,,,,,,Y,,F-138(15)-3C,H15,1956.0
4479,S075 07937,3,,,,,,,,Y,,F-75-2(1014)-1210,,1990.0
4480,S075 07939,1,Y,,,,,,,,,F-75-2(1014)-1,HS20,1990.0
4481,S075 07939,2,,,,,,,Y,,,12000,,
4482,S075 07991,1,Y,,,,,,,,,FG-138(16)-1,HS20,1956.0
4483,S075 07991,2,,Y,,,,,,,,U-UG-73-2(105)-1,HS20,1975.0
4484,S075 07991,3,,,,,,,Y,,,9805,,
4485,S075 07991,4,,,,,,,Y,,,10857,,
4486,S075 08003L,1,Y,,,,,,,,,NH-75-2(115)-1,HS25,1993.0
4487,S075 08003L,2,,,,,,,Y,,,12261,,
4488,S075 08003R,1,Y,,,,,,,,,NH-75-2(115)-1,HS25,1993.0
4489,S075 08003R,2,,,,,,,Y,,,12261,,
4490,S075 08011,1,Y,,,,,,,,,EACNH-75-2(116)-2,HS25,1992.0
4491,S075 08011,2,,,,,,,Y,,,12201,,
4492,S075 08037L,1,Y,,,,,,,,,EACNH-75-2(140)-1,HS25,1992.0
4493,S075 08037R,1,Y,,,,,,,,,EACNH-75-2(140)-1,HS25,1992.0
4494,S075 08173,1,Y,,,,,,,,,F-75-2(110)-4C,HS20,1989.0
4495,S075 08173A,1,Y,,,,,,,,,F-75-2(135)-4C,HS20,1989.0
4496,S075 08173L,1,Y,,,,,,,,,F-75-2(135)-3C,HS20,1989.0
4497,S075 08192L,1,Y,,,,,,,,,F-75-2(109)-1,HS20,1990.0
4498,S075 08192L,2,,,,,,,Y,,,12038,,
4499,S075 08192R,1,Y,,,,,,,,,F-75-2(109)-1,HS20,1990.0
4500,S075 08192R,2,,,,,,,Y,Y,,12038,,
4501,S075 08248L,2,Y,,,,,,,,,F-75-2(113)-1,HS20,1991.0
4502,S075 08248L,3,,,,,,,Y,,,12120,,
4503,S075 08248R,1,Y,,,,,,,,,F-75-2(113)-1,HS20,1991.0
4504,S075 08248R,2,,,,,,,Y,,,12120,,
4505,S075 08323,1,Y,,,,,,,,,F-75-2(107),HS20,1988.0
4506,S075 08323,2,,,,,,,Y,,,11798,,
4507,S075 08323,3,,,,Y,,,,,,STR-75-2(1036),,1994.0
4508,S075 08344,1,Y,,,,,,,,,F-75-2(1006)-2C,HS20,1988.0
4509,S075 08444,1,Y,,,,,,,,,F-75-2(110-1-9C,HS20,1992.0
4510,S075 08444,2,,,,,,,Y,,,12132,,
4511,S075 08495L,1,Y,,,,,,,,,F-75-2(1006)-1,HS20,1988.0
4512,S075 08495L,2,,,,,,,Y,,,11865,,
4513,S075 08495R,1,Y,,,,,,,,,F-75-2(1006)-1,HS20,1988.0
4514,S075 08495R,2,,,,,,,Y,,,11885,,
4515,S075 08580L,1,Y,,,,,,,,,F-75-2(1030)-1,HS20,1991.0
4516,S075 08580L,2,,,,,,,Y,,,12109,,
4517,S075 08580R,1,Y,,,,,,,,,F-75-2(1030)-1,HS20,1991.0
4518,S075 08580R,2,,,,,,,Y,,,12109,,
4519,S075 08663,1,Y,,,,,,,,,F-73-2(124)-1,HS20,1978.0
4520,S075 08682,1,Y,,,,,,,,,F-73-2(124)-2,HS20,1978.0
4521,S075 08682,2,,,,,,,Y,,,11033,,
4522,S075 08730L,1,Y,,,,,,,,,U515 (7),HS20,1970.0
4523,S075 08730L,2,,Y,,,,,,,,U-73-2(123),,1978.0
4524,S075 08730L,3,,,,,Y,,,,,NH-80-9(892)-3,HS20,2007.0
4525,S075 08730R,1,Y,,,,,,,,,U515(7),HS20,1970.0
4526,S075 08730R,2,,Y,,,,,,,,U-73-2(123),,1978.0
4527,S075 08730R,3,,,,,Y,,,,,NH-80-9(892)-3,HS20,2007.0
4528,S075 08766,1,Y,,,,,,,,,U-515(7),HS20,1970.0
4529,S075 08766,2,,Y,,,,,,,,EACNH-75-2(141),,1998.0
4530,S075 08766,3,,,,,Y,,,,,NH-80-9(892)-3,HS20,2007.0
4531,S075 08784L,1,Y,,,,,,,,,U-515(4),,1965.0
4532,S075 08784R,1,Y,,,,,,,,,U-515(4),,1965.0
4533,S075 09074,1,Y,,,,,,,,,IM-480-9(776)-1,HS25,2009.0
4534,S075 09076,1,Y,,,,,,,,,EACIM-480-9(782)-1,HS25,2005.0
4535,S075 09084,1,Y,,,,,,,,,EACIM-480-9(783)-2,HS25,2005.0
4536,S075 09102,1,Y,,,,,,,,,SP-67-12,HS20,1970.0
4537,S075 09102,2,,,,,,,Y,,,NOT AVAILABLE,,
4538,S075 09102,3,,Y,,,,,,,,I-IR-580-9(425)-1,,1978.0
4539,S075 09102,4,,,Y,,,,,,,RD-480-9(1054)-6C,,1995.0
4540,S075 09102A,1,Y,,,,,,,,,EACIM-480-9(785)-1,HS25,2005.0
4541,S075 09102B,1,Y,,,,,,,,,IM-480-9(773)-1,HS25,2007.0
4542,S075 09102C,1,Y,,,,,,,,,EACIM-480-9(775)-1,HS25,2005.0
4543,S075 09102D,1,Y,,,,,,,,,EACIM-480-9(785)-1,HS25,2005.0
4544,S075 09106,1,Y,,,,,,,,,IM-480-9(787)-1,HS25,2009.0
4545,S075 09109L,1,Y,,,,,,,,,IM-480-9(774)-1,HS25,2007.0
4546,S075 09109R,1,Y,,,,,,,,,EACIM-480-9(786)-1,HS25,2005.0
4547,S075 09137,1,Y,,,,,,,,,F-73-2(124)-2,HS20,1978.0
4548,S075 09137,2,,,,,,,Y,,,11033,,
4549,S075 09137,3,,,,Y,,,,,,75(91.37)-1,,1986.0
4550,S075 09137,4,,,,,,,Y,,,11680,,1986.0
4551,S075 09137,5,,,,Y,,,,Y,,STR-75-2(1063)-1,,2008.0
4552,S075 09169,1,Y,,,,,,,,,M-5025(002)-2,HS20,1977.0
4553,S075 09169,2,,,,,,,Y,,,10888,,
4554,S075 09169,3,,,,,,,,Y,,ER-75-2(1035),,1993.0
4555,S075 09169,4,,,,,,,Y,,,12301,,
4556,S075 09202,1,Y,,,,,,,,,IX-73-2(149)-1,HS20,1981.0
4557,S075 09202,2,,,,,,,Y,,,11372,,
4558,S075 09233,1,Y,,,,,,,,,IX-73-2(174),HS20,1985.0
4559,S075 09233,2,,,,,,,Y,,,11591,,1985.0
4560,S075 09255,1,Y,,,,,,,,,IX-73-2(173)-1,HS20,1984.0
4561,S075 09255,2,,,,,,,Y,,,11529,,1984.0
4562,S075 09280,1,Y,,,,,,,,,IX-73-2(154)-1,,1986.0
4563,S075 09280,2,,,,,,,Y,,,11704,,1986.0
4564,S075 09302,1,Y,,,,,,,,,IX-73-2(175)-1,HS20,1986.0
4565,S075 09302,2,,,,,,,Y,,,11712,,1986.0
4566,S075 09327,1,Y,,,,,,,,,IX-73-2(169),HS20,1984.0
4567,S075 09327,2,,,,,,,Y,,,11508,,1984.0
4568,S075 09341,1,Y,,,,,,,,,IX-73-2(176)-1,HS20,1986.0
4569,S075 09341,2,,,,,,,Y,,,11688,,1986.0
4570,S075 09354A,1,Y,,,,,,,,,IX-73-2(176)-2,HS20,1986.0
4571,S075 09354A,2,,,,,,,Y,,,11688,,1986.0
4572,S075 10299,1,Y,,,,,,,,,F-91(10)-2C,HS20,1969.0
4573,S075 10742,1,Y,,,,,,,,,91-A-3,H15,1931.0
4574,S075 10742,2,,,,,,,Y,,,8546,,
4575,S075 10742,3,,Y,,,,,,,,RFU-91(13)-1,HS20,1976.0
4576,S075 10742,4,,,,,,,Y,,,10951,,
4577,S075 10742,5,,,Y,,,,,,,NH-75-3(108)-2C,,1998.0
4578,S075 10985,1,Y,,,,,,,,,RFU-91(13)-2,HS20,1976.0
4579,S075 10985,2,,Y,,,,,,,,RFU-91(13)-2,,1976.0
4580,S075 10985,3,,,,,,,Y,,,10951,,
4581,S075 10985,4,,,Y,,,,,,,NH-75-3(108)-2C,,1998.0
4582,S075 11457,1,Y,,,,,,,,,NRH-91-A,T20,1934.0
4583,S075 11457,2,,,,,,,,Y,,STD PLAN 1811,,
4584,S075 11457,3,Y,,,,,,,,,RFU-91(13)-5C,HS20,1976.0
4585,S075 11560,1,Y,,,,,,,,,STP-RRS-75-3(101)-1,HS20,1992.0
4586,S075 11560,2,,,,,,,Y,,,12188,,
4587,S075 11877,1,Y,,,,,,,,,23-4-C-5,T20,1933.0
4588,S075 11877,2,Y,,,,,,,,,RF-23(14)-5C,HS20,1975.0
4589,S075 11925,1,Y,,,,,,,,,STPD-75-3(114)-1,HS25,2007.0
4590,S075 12252,1,Y,,,,,,,,,EACSTPD-75-3(105)-1C,HS20,1994.0
4591,S075 12479,1,Y,,,,,,,,,23-7,H15,1932.0
4592,S075 12479,2,,,,,,,Y,,,8654,,
4593,S075 12479,3,,,,,,,,Y,,F-23(A)-1,H15,1959.0
4594,S075 12479,4,,,,,,,Y,,,10069,,
4595,S075 12479,5,,Y,,,Y,,,,Y,RF-23(14)-2,HS20,1975.0
4596,S075 12479,6,,,,,,,,Y,,EACSTPD_75_3(105)-2C,,1994.0
4597,S075 12533,1,Y,,,,,,,,,23-8-R,T20,1933.0
4598,S075 12533,2,,Y,,,Y,,,,,RF-23(14)-1,H-15,1975.0
4599,S075 12533,3,,,,,,,Y,,,8661,,
4600,S075 12533,4,,,,,,,Y,,,10878,,
4601,S075 12533,5,,,,,,,,Y,,"EACSTPD-75-3(105)-3C,5C",,1994.0
4602,S075 12649,1,Y,,,,,,,,,F-73-3(106)-1,HS20,1979.0
4603,S075 12649,2,,,,,,,Y,,,11146,,
4604,S075 12935,1,Y,,,,,,,,,23-DIV-II-3,H15,1934.0
4605,S075 12935,2,,,,,,,Y,,,8785,,
4606,S075 12935,3,,,,,Y,,,,,F-73-3(106)-2,H20,1979.0
4607,S075 12935,4,,,,,,,Y,,,11146,,
4608,S075 12957,1,Y,,,,,,,,,F-73-3(106)-4C,HS20,1980.0
4609,S075 13280,1,Y,,,,,,,,,NRM-23-C-1,H15,1934.0
4610,S075 13280,2,,,,,,,Y,,,8744,,
4611,S075 13280,3,,Y,,,,,,,,F-75-3(1004)-1,H15,1988.0
4612,S075 13280,4,,,,,,,,Y,,MISC-32-7(1005)-1,,2013.0
4613,S075 13377,1,Y,,,,,,,,,F-229(7),H15,1950.0
4614,S075 13377,2,,,,,,,,Y,,STD PLAN 1822-A3,,
4615,S075 13601,1,Y,,,,,,,,,229-A-2,H15,1932.0
4616,S075 13601,2,,,,,Y,,,,,F-229(8)-1,HS20,1965.0
4617,S075 13601,3,,,,,,,Y,,,8621,,
4618,S075 13601,4,,,,,,,Y,,,10475,,
4619,S075 13601,5,,,,,,Y,,,,73(149.26),,1978.0
4620,S075 14314,1,Y,,,,,,,,,F-75-3(102)-4C,HS20,1986.0
4621,S075 14855,1,Y,,,,,,,,,BRF-73-3(1003),HS20,1979.0
4622,S075 14855,2,,,,,,,Y,,,11145,,
4623,S075 14855,3,,,Y,,,,,,,EACSTPD-75-3(110)-9C,HS20,2002.0
4624,S075 15000,1,Y,,,,,,,,,EACSTPD-75-3(109)-1,HS20,1997.0
4625,S075 15730,1,Y,,,,,,,,,STPD-75-4(108)-1,HL93,2010.0
4626,S075 15781,1,Y,,,,,,,,,326-B-2,H15,1931.0
4627,S075 15781,2,,,,,,,Y,,,8614,,
4628,S075 15781,3,,,,,,,Y,,,8615,,
4629,S075 15781,4,,,,,,Y,,,,73(171.10),,1978.0
4630,S075 15781,5,,,,,,,,Y,,73(171.10),,1976.0
4631,S075 16302,1,Y,,,,,,,,,E-326-C,T20,1933.0
4632,S075 16302,2,,,,,,,,Y,,F-326(8)-1C,,1950.0
4633,S075 16302,3,,,,,,,,Y,,STD PLAN 1801-C,,
4634,S075 16807,1,Y,,,,,,,,,E-326-C,T20,1933.0
4635,S075 16807,2,,,,,,,,Y,,F-326(8),,
4636,S075 16807,3,,,,,,,,Y,,STD PLAN 1801-B,,
4637,S075 16807,4,,,,,,,,Y,,STD PLAN 1822-A2-R1,,
4638,S075 17062,1,Y,,,,,,,,,49-C(3)-2,H15,1938.0
4639,S075 17062,2,,Y,,,Y,,,,,F-49(32)-3,HS20,1972.0
4640,S075 17062,3,,,,,,,Y,,,9220,,
4641,S075 17062,4,,,,,,,Y,,,10817,,
4642,S075 17193,1,Y,,,,,,,,,EACSTP-75-4(102)-1,HS25,1993.0
4643,S075 17193,2,,,,,,,Y,,,12259,,1993.0
4644,S075 17596,1,Y,,,,,,,,,NRS-347-1-R,H15,1933.0
4645,S075 17596,2,,Y,,,Y,,,,,F-49(32)-1,HS20,1972.0
4646,S075 17596,3,,,,,,,Y,,,8692,,
4647,S075 17596,4,,,,,,,Y,,,10817,,
4648,S075 17750,1,Y,,,,,,,,,NRS-347-2,H15,1933.0
4649,S075 17750,2,,,,,,,Y,,,8703,,
4650,S075 17750,3,,,,,Y,,,,,F-77-4(107),H20,1983.0
4651,S075 17750,4,,,,,,,Y,,,11416,,1983.0
4652,S075 17750,5,,,,,,,,Y,,RD-75-4(1009)-1,,2011.0
4653,S075 18205L,1,Y,,,,,,,,,F-77-4(109),HS20,1978.0
4654,S075 18205L,2,,,,,,,,Y,,F-77-4(106)-1C,HS20,1978.0
4655,S075 18205L,3,,,,,,,Y,,,11017,,
4656,S075 18205R,1,Y,,,,,,,,,M-5254(5)-1,HS20,1991.0
4657,S075 18205R,2,,,,,,,Y,Y,,12079,,
4658,S075 18205R,3,,,,,,,Y,,,12085,,
4659,S075A00108,1,Y,,,,,,,,,F-BRF-75-2(123)-1,HS20,1992.0
4660,S075A00108,2,,,,,,,Y,,,12148,,
4661,S076 00126L,1,Y,,,,,,,,,I-80-3(32)-1,HS20,1967.0
4662,S076 00126L,2,,,,,,,Y,,,10606,,
4663,S076 00126L,3,,,Y,,,,,,,IR-80-2(67)-1C,,1988.0
4664,S076 00126L,4,,Y,Y,,,,,,,IM-76-2(105)-2C,HS20,1997.0
4665,S076 00126L,5,,Y,,,,,,,,IM-80-3(119)-1C,HS20,2009.0
4666,S076 00126R,1,Y,,,,,,,,,I-80-3(32)-1,HS20,1967.0
4667,S076 00126R,2,,,,,,,Y,,,10606,,
4668,S076 00126R,3,,,Y,,,,,,,IR-80-2(67)-1C,,1988.0
4669,S076 00126R,4,,Y,Y,,,,,,,IM-76-2(105)-2C,HS20,1997.0
4670,S076 00126R,5,,Y,,,,,,,,IM-80-3(119)-2C,HS20,2009.0
4671,S076 00176,1,Y,,,,,,,,,I-80-3(33)-1 ALT,H15,1967.0
4672,S076 00176,2,,,,,,,Y,,,10607,,
4673,S077 00107,1,Y,,,,,,,,,UNKNOWN,,
4674,S077 00107,2,Y,,,,,,,,,250-A(2)-3C,T20,1939.0
4675,S077 00107,3,Y,,,,,,,,,F-250(7)-3C,H15,1957.0
4676,S077 00199,1,Y,,,,,,,,,UNKNOWN,,
4677,S077 00199,2,Y,,,,,,,,,250-A(2),T20,1939.0
4678,S077 00199,3,Y,,,,,,,,,F-250(7)-2C,H15,1958.0
4679,S077 00199,4,,,,,,,,Y,,STD PLAN 1811-F1,,
4680,S077 00775,1,Y,,,,,,,,,250-B(1)-2,H15,1939.0
4681,S077 00775,2,,,,,Y,,,,,F-250(7)-1,HS20,1958.0
4682,S077 00775,3,,,,,,,Y,,,9162,,
4683,S077 00775,4,,,,,,,Y,,,9916,,
4684,S077 00775,5,,,,,Y,,,Y,,EACNH-EACBR-77-1(127)-5,HS25,2002.0
4685,S077 00938,1,Y,,,,,,,,,EACNH-EACBR-77-1(127)-3,HS20,2002.0
4686,S077 01143,1,Y,,,,,,,,,F-211(9)-1,HS20,1957.0
4687,S077 01143,2,,,,,,,Y,,,9908,,
4688,S077 01143,3,,,,,Y,,,,Y,EACNH-EACBR-77-1(127)-1,HS20,2002.0
4689,S077 01829,1,Y,,,,,,,,,F-211(6),H15,1954.0
4690,S077 01829,2,,,,,,,,Y,,STD PLAN 1822-A2-R1,,
4691,S077 02097,1,Y,,,,,,,,,BR-NH-77-1(115)-1,HS25,2000.0
4692,S077 02160,1,Y,,,,,,,,,ER-U-22(1)-1,H20,1949.0
4693,S077 02160,2,,,,,,Y,,,,77(21.60),,1972.0
4694,S077 02160,3,,Y,,,,,,,,77(21.60)-1C,,1976.0
4695,S077 02160,4,,,,,,,Y,,,9510,,
4696,S077 02160,5,,,Y,Y,,,,Y,,ER-114-(4)-1,H20,2013.0
4697,S077 02364,1,Y,,,,,,,,,F-18(8)-1,HS20,1962.0
4698,S077 02364,2,,,Y,,Y,,,,,F-18(20)-1,HS20,1970.0
4699,S077 02364,3,,,,,,,Y,,,10387,,
4700,S077 02364,4,,,,,,,Y,,,10692,,
4701,S077 02364,5,,,,,,,,Y,,77(23.64),,1981.0
4702,S077 02364,6,,,,,,,Y,,,11263,,1981.0
4703,S077 02364,7,,Y,,,,,,Y,,STP-77-1(129)-1C,,2009.0
4704,S077 03005,1,Y,,,,,,,,,F-77-1(1011)-2C,HS20,1990.0
4705,S077 03005,2,,,,,,,Y,,,12019,,
4706,S077 03075,1,Y,,,,,,,,,F-77-1(1011)-3C,HS20,1990.0
4707,S077 03075,2,,,,,,,,Y,,MISC-77-1(1026)-2C,HL93,2011.0
4708,S077 03378L,1,Y,,,,,,,,,F-77-1(1010)-1,HS20,1992.0
4709,S077 03378L,2,,,,,,,,Y,,RD-77-1(1024)-1C,,2009.0
4710,S077 03378R,1,Y,,,,,,,,,F-77-1(1010)-1,HS20,1992.0
4711,S077 03378R,2,,,,,,,Y,,,12149,,
4712,S077 03378R,3,,,,,,,,Y,,RD-77-1(1024)-1C,,2009.0
4713,S077 03928L,1,Y,,,,,,,,,F-77-1(1012)-1,HS25,1993.0
4714,S077 03928L,2,,,,,,,Y,,,12285,,
4715,S077 03928R,1,Y,,,,,,,,,F-77-1(1012)-1,HS25,1993.0
4716,S077 03928R,2,,,,,,,Y,,,12285,,
4717,S077 04398,1,Y,,,,,,,,,F-77-1(1012) STD 1308,HS20,1993.0
4718,S077 05006L,1,Y,,,,,,,,,EACNH-77-2(147)-1,HS25,1996.0
4719,S077 05006R,1,Y,,,,,,,,,EACNH-77-2(147)-1,HS25,1996.0
4720,S077 05024L,1,Y,,,,,,,,,EACNH-77-2(147)-2,HS25,1996.0
4721,S077 05024R,1,Y,,,,,,,,,EACHN-77-2(147)-2,HS25,1996.0
4722,S077 05074,1,Y,,,,,,,,,18-DIV-III-1C,T20,1932.0
4723,S077 05074,2,,,,,,,,Y,,F-77-2(109),HS20,1970.0
4724,S077 05099,1,Y,,,,,,,,,EACNH-77-2(147)-4C,HS20,1996.0
4725,S077 05665L,1,Y,,,,,,,,,RF-77-2(108)-1,HS20,1978.0
4726,S077 05665L,2,,,,,,,Y,,,11056,,
4727,S077 05665L,3,,,Y,,,,,,,RD-77-2(1055)-1C,,2005.0
4728,S077 05665R,1,Y,,,,,,,,,F-18(13)-1,HS20,1965.0
4729,S077 05665R,2,,,,,,,Y,,,10507,,
4730,S077 05665R,3,,Y,,,,,,,,RF-77-2(108)-1,,1978.0
4731,S077 05665R,4,,,Y,,,,,,,RD-77-2(1055)-1C,,2005.0
4732,S077 05693L,1,Y,,,,,,,,,RF-77-2(108)-2,HS20,1978.0
4733,S077 05693L,2,,,,,,,Y,,,11056,,
4734,S077 05693L,3,,,Y,,,,,,,RD-77-2(1055)-2C,,2005.0
4735,S077 05693R,1,Y,,,,,,,,,F-18(13)-2,HS20,1965.0
4736,S077 05693R,2,,,,,,,Y,,,10507,,
4737,S077 05693R,3,,Y,,,Y,Y,,,,RF-77-2(108)-3,HS20,1978.0
4738,S077 05693R,4,,,,,,,Y,,,11056,,
4739,S077 05693R,5,,,Y,,,,,,,RD-77-2(1055)-2C,,2005.0
4740,S077 05755,1,Y,,,,,,,,,F-77-2(134)-STD 1306,HS20,1986.0
4741,S077 05761L,1,Y,,,,,,,,,RF-77-2(108)-4,HS20,1978.0
4742,S077 05761L,2,,,,,,,Y,,,11056,,
4743,S077 05761R,1,Y,,,,,,,,,F-18(13)-3,HS20,1965.0
4744,S077 05761R,2,,,,,,,Y,,,10507,,
4745,S077 05761R,3,,Y,,,,Y,,,,RF-77-2(108)-4,,1978.0
4746,S077 05776L,1,Y,,,,,,,,,RF-77-2(108)-5,HS20,1978.0
4747,S077 05776L,2,,,,,,,Y,,,11056,,
4748,S077 05776R,1,Y,,,,,,,,,F-18(13)-4,HS20,1965.0
4749,S077 05776R,2,,,,,,,Y,,,10507,,
4750,S077 05776R,3,,Y,Y,,,Y,,,,RF-77-2(108)-5,,1978.0
4751,S077 05776R,4,,,,,,,Y,,,11056,,
4752,S077 05831,1,Y,,,,,,,,,F-77-2(134)STD.1306,HS20,1986.0
4753,S077 05831,2,,,,,,,Y,,,11655,,1986.0
4754,S077 06027,1,Y,,,,,,,,,F-77-2(134)-2,HS20,1986.0
4755,S077 06027,2,,,,,,,Y,,,11655,,1986.0
4756,S077 06027A,1,Y,,,,,,,,,F-77-2(1028)-5,HS20,1992.0
4757,S077 06027A,2,,,,,,,Y,,,12186,,
4758,S077 06027B,1,Y,,,,,,,,,F-77-2(1028)-2,HS20,1992.0
4759,S077 06027B,2,,,,,,,Y,,,12186,,
4760,S077 06027L,1,Y,,,,,,,,,F-77-2(1024)-1,HS20,1991.0
4761,S077 06027L,2,,,,,,,Y,,,12082,,
4762,S077 06064L,1,Y,,,,,,,,,F-77-2(1024)-2,HS20,1991.0
4763,S077 06064L,2,,,,,,,Y,,,12082,,
4764,S077 06064R,1,Y,,,,,,,,,F-77-2(1028)-3,HS20,1992.0
4765,S077 06064R,2,,,,,,,Y,,,12186,,
4766,S077 06134,1,Y,,,,,,,,,IR-F-80-9(581)-1,HS20,1990.0
4767,S077 06134,2,,,,,,,Y,,,11998,,
4768,S077 06152,1,Y,,,,,,,,,F-BRF-2(129)-5C,HS20,1985.0
4769,S077 06176,1,Y,,,,,,,,,S-77-2(1021)-3,HS20,2004.0
4770,S077 06205L,1,Y,,,,,,,,,BRF-77-2(148)-1,HS20,1989.0
4771,S077 06205L,2,,,,,,,Y,,,11905,,
4772,S077 06205L,3,,,,,,,,Y,,RD-77-2(1060)-1,HS20,2011.0
4773,S077 06205R,1,Y,,,,,,,,,F-BRF-77-2(129)-2,HS20,1989.0
4774,S077 06205R,2,,,,,,,Y,,,11467,,
4775,S077 06205R,3,,,,,Y,,,,Y,S-77-2(1021)-3,HS25,2004.0
4776,S077 06205R,4,,,,,,,,Y,,RD-77-2(1060)-1,HS20,2011.0
4777,S077 06207L,1,Y,,,,,,,,,PLANS NOT AVAILABLE,,
4778,S077 06232L,1,Y,,,,,,,,,BRF-77-2(148)-2,HS20,1989.0
4779,S077 06232L,2,,,,,,,Y,,,11905,,
4780,S077 06232L,3,,,,,,,,Y,,RD-77-2(1060)-2,HS20,2011.0
4781,S077 06232R,1,Y,,,,,,,,,F-BRF-77-2(129)-1,HS20,1983.0
4782,S077 06232R,2,,,,,,,Y,,,11467,,1983.0
4783,S077 06232R,3,,,,,,,,Y,,RD-77-2(1060)-2,HS20,2011.0
4784,S077 06274L,1,Y,,,,,,,,,IR-F-80-9(650)-1,HS20,1989.0
4785,S077 06274L,2,,,,,,,Y,,,11924,,
4786,S077 06274R,1,Y,,,,,,,,,IR-F-80-9(650)-1,HS20,1989.0
4787,S077 06274R,2,,,,,,,Y,,,11924,,
4788,S077 06431,1,Y,,,,,,,,,I-180-9(64)-4C,H20,1961.0
4789,S077 06991,1,Y,,,,,,,,,F-155(6)-1,HS20,1972.0
4790,S077 06991,2,,,,,,,Y,,,10785,,
4791,S077 06991,3,,Y,,,,,,,,RF-77-2(111),,1975.0
4792,S077 07899L,1,Y,,,,,,,,,EACNH-77-2(126)-1,HS25,1994.0
4793,S077 07899R,1,Y,,,,,,,,,EACNH-77-2(126)-1,HS25,1994.0
4794,S077 08008,1,Y,,,,,,,,,EACNH-77-2(126)STD 1306,HS20,1994.0
4795,S077 08039L,1,Y,,,,,,,,,EACNH-77-2(126)-2,HS25,1994.0
4796,S077 08039R,1,Y,,,,,,,,,EACNH-77-2(126)-2,HS25,1994.0
4797,S077 08048L,1,Y,,,,,,,,,EACNH-77-2(126)-3,HS25,1994.0
4798,S077 08048R,1,Y,,,,,,,,,EACNH-77-2(126)-3,HS25,1994.0
4799,S077 08066L,1,Y,,,,,,,,,EACNH-77-2(126)-4,HS25,1994.0
4800,S077 08066R,1,Y,,,,,,,,,EACNH-77-2(126)-4,HS25,1994.0
4801,S077 08081L,1,Y,,,,,,,,,EACNH-77-2(126)-5,HS25,1994.0
4802,S077 08081R,1,Y,,,,,,,,,EACNH-77-2(126)-5,HS25,1994.0
4803,S077 08606L,1,Y,,,,,,,,,F-77-2(1037-1,HS25,2001.0
4804,S077 08606R,1,Y,,,,,,,,,F-77-2(1037)-2,HS25,2001.0
4805,S077 09205,1,Y,,,,,,,,,F-77-2(1037)-4,HS25,2001.0
4806,S077 09234,1,Y,,,,,,,,,S-77-2(1038)-1,HS25,2002.0
4807,S077 09410,1,Y,,,,,,,,,F-27(A)-1,H15,1959.0
4808,S077 09410,2,,,,,,,Y,,,10084,,
4809,S077 09410,3,,,,,Y,,,Y,,BRF-77-2(128),HS20,1981.0
4810,S077 09410,4,,,,,,,Y,,,11299,,1982.0
4811,S077 09791,1,Y,,,,,,,,,SP-235-C,T20,1926.0
4812,S077 09791,2,,,,,,,Y,,,8370,,
4813,S077 09791,3,,,,,,,,Y,,235-C-1,T20,1931.0
4814,S077 09791,4,,,,,Y,,,,,F-235(7)-1,H15,1955.0
4815,S077 09791,5,,,,,,,Y,,,8504,,
4816,S077 09791,6,,,,,,,Y,,,9685,,
4817,S077 09791,7,,,,,,,,,Y,STR-77-2(1070)-1,HS15,2008.0
4818,S077 09993,1,Y,,,,,,,,,EACSTPD-34-5(110)STD1308,HS20,1996.0
4819,S077 09993,2,,,,,,,,Y,,F-27(15)-2C,,1954.0
4820,S077 09993,3,,,,,,,,Y,,STD PLAN 280,,
4821,S077 10726,1,Y,,,,,,,,,BR-77-2(159)-2,HL93,2011.0
4822,S077 11144,1,Y,,,,,,,,,F-27(18)-1,H15,1954.0
4823,S077 11144,2,,,,,,,Y,,,9653,,
4824,S077 11144,3,,,Y,,,,,,,STPP-STWD(23)-2C,HS20,2001.0
4825,S077 11185,1,Y,,,,,,,,,F-27(18)-2,H15,1954.0
4826,S077 11185,2,,,,,,,Y,,,9653,,
4827,S077 11185,3,,Y,,,,Y,,,,77(111.85),,1979.0
4828,S077 11185,4,,,,,,,,Y,,F-77-3(1007),,1988.0
4829,S077 11185,5,,,,,,,Y,,,11844,,
4830,S077 11185,6,,,Y,Y,,,,,,BHF-77-3(118)-1C,,1989.0
4831,S077 11185,7,,,,,,,,Y,,F-77-3(1011),,1990.0
4832,S077 11185,8,,,,,,,Y,,,12023,,
4833,S077 11368,1,Y,,,,,,,,,WPGM-27-I-1, H15,1936.0
4834,S077 11368,2,,,,,Y,,,,,F-GHF-77-3(103)-1,HS20,1985.0
